Dataset,LP,Rand. RASS,LoRA,Adapter,CLIP-Adapter,MEHERAB,Delta_LP
Food-101,65.4+/-1.0,60.3+/-2.1,67.7+/-1.4,65.9+/-1.5,67.2+/-1.7,65.4+/-1.1,+0.0
Oxford-Pets,92.0+/-0.7,90.3+/-1.1,92.2+/-0.5,92.2+/-0.5,92.2+/-0.4,92.0+/-1.0,-0.0
DTD,69.9+/-0.7,71.4+/-0.6,72.1+/-0.8,71.5+/-0.6,72.5+/-1.0,71.8+/-1.1,+1.9
Aircraft,35.8+/-1.5,33.0+/-3.0,43.1+/-1.3,42.5+/-2.0,43.4+/-1.9,37.1+/-2.5,+1.3
Flowers102,97.9+/-0.3,96.4+/-1.2,98.1+/-0.3,97.7+/-0.3,98.0+/-0.3,97.9+/-0.2,+0.0
EuroSAT,92.5+/-0.6,95.1+/-0.3,93.7+/-0.2,93.8+/-0.6,93.6+/-0.5,95.7+/-0.2,+3.2
Caltech-101,94.2+/-0.4,93.0+/-1.2,94.8+/-0.5,94.7+/-0.6,94.8+/-0.6,94.6+/-0.7,+0.4
RESISC45,74.9+/-0.5,79.1+/-1.1,77.8+/-0.6,77.1+/-0.9,77.4+/-0.4,78.4+/-1.1,+3.4
PatternNet,95.2+/-0.7,97.6+/-0.7,96.1+/-0.8,96.1+/-0.6,96.2+/-0.6,97.7+/-0.6,+2.4
UCMerced,94.8+/-0.0,95.6+/-0.3,94.0+/-0.9,93.3+/-0.7,93.9+/-0.6,94.3+/-0.4,-0.6
